observation_id,country_iso3,geography,layer,indicator,value,unit,period_start,period_end,release_date,source_institution,source_url,source_language,retrieval_date,status,verification_stage,comparability_group,notes
TUN-CPI-JUL-MOM-2026,TUN,Tunisia,macro,cpi_mom,0.2,% change,2026-07-01,2026-07-31,2026-08-05,National Institute of Statistics (Tunisia),https://www.ins.tn/en/statistiques/90,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom,
TUN-FOOD-JUL-YOY-2026,TUN,Tunisia,macro,food_non_alcoholic_yoy,6.6,% change,2026-07-01,2026-07-31,2026-08-05,National Institute of Statistics (Tunisia),https://www.ins.tn/en/statistiques/90,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-component,
PSE-PSE-CPI-JUN-YOY-2026,PSE,Palestine — overall,macro,cpi_yoy,-40.04,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-PSE-CPI-JUN-MOM-2026,PSE,Palestine — overall,macro,cpi_mom,-1.6,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-PSE-CPI-H1-YOY-2026,PSE,Palestine — overall,macro,cpi_h1_yoy,-20.91,% change,2026-01-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,half-year-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-WB-CPI-JUN-YOY-2026,PSE,West Bank,macro,cpi_yoy,1.31,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-WB-CPI-JUN-MOM-2026,PSE,West Bank,macro,cpi_mom,-1.6,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-WB-CPI-H1-YOY-2026,PSE,West Bank,macro,cpi_h1_yoy,2.08,% change,2026-01-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,half-year-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-J1-CPI-JUN-YOY-2026,PSE,Jerusalem J1,macro,cpi_yoy,2.31,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-J1-CPI-JUN-MOM-2026,PSE,Jerusalem J1,macro,cpi_mom,-0.53,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-J1-CPI-H1-YOY-2026,PSE,Jerusalem J1,macro,cpi_h1_yoy,2.95,% change,2026-01-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,half-year-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-GAZA-CPI-JUN-YOY-2026,PSE,Gaza Strip,macro,cpi_yoy,-62.77,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-GAZA-CPI-JUN-MOM-2026,PSE,Gaza Strip,macro,cpi_mom,-1.87,% change,2026-06-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
PSE-GAZA-CPI-H1-YOY-2026,PSE,Gaza Strip,macro,cpi_h1_yoy,-41.66,% change,2026-01-01,2026-06-30,2026-07-14,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,en,2026-08-08,raw,official-source-checked; independent audit pending,half-year-yoy-conflict-sensitive,Conflict-affected price series. Large negative changes after extreme wartime price levels must not be interpreted mechanically as low economic stress.
